# Recommended confusable mapping for IDN
14DD,14D3 00B7 
14DF,14D5 00B7 
14E1,14D6 00B7 
14E3,14D7 00B7 
14E5,14D8 00B7 
1607,14DA 
14E7,14DA 00B7 
14E9,14DB 00B7 
14F7,14ED 00B7 
14F9,14EF 00B7 
14FB,14F0 00B7 
14FD,14F1 00B7 
14FF,14F2 00B7 
1501,14F4 00B7 
1503,14F5 00B7 
150C,150B 003C 
150D,150B 1455 
150E,150B 1472 
150F,150B 1490 
1518,1510 00B7 
151A,1511 00B7 
151C,1512 00B7 
151E,1513 00B7 
1520,1514 00B7 
1522,1515 00B7 
1524,1516 00B7 
1532,1528 00B7 
1534,1529 00B7 
1536,152A 00B7 
1538,152B 00B7 
153A,152D 00B7 
153C,152E 00B7 
1622,1543 
18E0,1543 00B7 
1623,1546 
1624,154A 
154F,154C 00B7 
1581,1550 0064 
157F,1550 0050 
166F,1550 146B 
157E,1550 146C 
1580,1550 146E 
1582,1550 1470 
1583,1550 1472 
1584,1550 1473 
1585,1550 1483 
155C,155A 00B7 
18E3,155E 00B7 
18E4,1566 00B7 
1569,1567 00B7 
18E5,156B 00B7 
18E8,1586 00B7 
1591,1595 004A 
1670,1595 1489 
158E,1595 148A 
158F,1595 148B 
1590,1595 148C 
1592,1595 148E 
1593,1595 1490 
1594,1595 1491 
1673,1596 004A 
1671,1596 148B 
1672,1596 148C 
1674,1596 148E 
1675,1596 1490 
1676,1596 1491 
18EA,1597 00B7 
1677,15A7 00B7 
1678,15A8 00B7 
1679,15A9 00B7 
167A,15AA 00B7 
167B,15AB 00B7 
167C,15AC 00B7 
167D,15AD 00B7 
2AAB,15D2 
2AAA,15D5 
A4F7,15E1 
18F0,15F4 00B7 
18F2,161B 00B7 
1DBB,1646 
A4ED,1660 
02E1,18F3 
02B3,18F4 
02E2,18F5 
16E1,16BC 
237F,16BD 
16C2,16BD 
2191,16CF 
21BF,16D0 
296E,16D0 21C2 
2963,16D0 16DA 
2D63,16EF 
21BE,16DA 
2A21,16DA 
22C4,16DC 
25C7,16DC 
25CA,16DC 
2662,16DC 
1F754,16DC 
118B7,16DC 
10294,16DC 
235A,16DC 0332 
22C8,16DE 
2A1D,16DE 
2195,16E8 
3131,1100 
11A8,1100 
1101,1100 1100 
3132,1100 1100 
11A9,1100 1100 
11FA,1100 1102 
115A,1100 1103 
11C3,1100 1105 
11FB,1100 1107 
11AA,1100 1109 
3133,1100 1109 
11C4,1100 1109 1100 
11FC,1100 110E 
11FD,1100 110F 
11FE,1100 1112 
3134,1102 
11AB,1102 
1113,1102 1100 
11C5,1102 1100 
1114,1102 1102 
3165,1102 1102 
11FF,1102 1102 
1115,1102 1103 
3166,1102 1103 
11C6,1102 1103 
D7CB,1102 1105 
1116,1102 1107 
115B,1102 1109 
11C7,1102 1109 
3167,1102 1109 
115C,1102 110C 
11AC,1102 110C 
3135,1102 110C 
D7CC,1102 110E 
11C9,1102 1110 
115D,1102 1112 
11AD,1102 1112 
3136,1102 1112 
11C8,1102 1140 
3168,1102 1140 
3137,1103 
11AE,1103 
1117,1103 1100 
11CA,1103 1100 
1104,1103 1103 
3138,1103 1103 
D7CD,1103 1103 
D7CE,1103 1103 1107 
115E,1103 1105 
11CB,1103 1105 
A960,1103 1106 
A961,1103 1107 
D7CF,1103 1107 
A962,1103 1109 
D7D0,1103 1109 
D7D1,1103 1109 1100 
A963,1103 110C 
D7D2,1103 110C 
D7D3,1103 110E 
D7D4,1103 1110 
3139,1105 
11AF,1105 
A964,1105 1100 
11B0,1105 1100 
313A,1105 1100 
A965,1105 1100 1100 
D7D5,1105 1100 1100 
11CC,1105 1100 1109 
3169,1105 1100 1109 
D7D6,1105 1100 1112 
1118,1105 1102 
11CD,1105 1102 
A966,1105 1103 
11CE,1105 1103 
316A,1105 1103 
A967,1105 1103 1103 
11CF,1105 1103 1112 
1119,1105 1105 
11D0,1105 1105 
D7D7,1105 1105 110F 
A968,1105 1106 
11B1,1105 1106 
313B,1105 1106 
11D1,1105 1106 1100 
11D2,1105 1106 1109 
D7D8,1105 1106 1112 
A969,1105 1107 
11B2,1105 1107 
313C,1105 1107 
D7D9,1105 1107 1103 
A96A,1105 1107 1107 
11D3,1105 1107 1109 
316B,1105 1107 1109 
A96B,1105 1107 110B 
11D5,1105 1107 110B 
D7DA,1105 1107 1111 
11D4,1105 1107 1112 
A96C,1105 1109 
11B3,1105 1109 
313D,1105 1109 
11D6,1105 1109 1109 
111B,1105 110B 
D7DD,1105 110B 
A96D,1105 110C 
A96E,1105 110F 
11D8,1105 110F 
11B4,1105 1110 
313E,1105 1110 
11B5,1105 1111 
313F,1105 1111 
111A,1105 1112 
3140,1105 1112 
113B,1105 1112 
11B6,1105 1112 
D7F2,1105 1112 
11D7,1105 1140 
316C,1105 1140 
D7DB,1105 114C 
11D9,1105 1159 
316D,1105 1159 
D7DC,1105 1159 1112 
3141,1106 
11B7,1106 
A96F,1106 1100 
11DA,1106 1100 
D7DE,1106 1102 
D7DF,1106 1102 1102 
A970,1106 1103 
11DB,1106 1105 
D7E0,1106 1106 
111C,1106 1107 
316E,1106 1107 
11DC,1106 1107 
D7E1,1106 1107 1109 
A971,1106 1109 
11DD,1106 1109 
316F,1106 1109 
11DE,1106 1109 1109 
111D,1106 110B 
3171,1106 110B 
11E2,1106 110B 
D7E2,1106 110C 
11E0,1106 110E 
11E1,1106 1112 
11DF,1106 1140 
3170,1106 1140 
3142,1107 
11B8,1107 
111E,1107 1100 
3172,1107 1100 
111F,1107 1102 
1120,1107 1103 
3173,1107 1103 
D7E3,1107 1103 
11E3,1107 1105 
D7E4,1107 1105 1111 
D7E5,1107 1106 
1108,1107 1107 
3143,1107 1107 
D7E6,1107 1107 
112C,1107 1107 110B 
3179,1107 1107 110B 
1121,1107 1109 
3144,1107 1109 
11B9,1107 1109 
1122,1107 1109 1100 
3174,1107 1109 1100 
1123,1107 1109 1103 
3175,1107 1109 1103 
D7E7,1107 1109 1103 
1124,1107 1109 1107 
1125,1107 1109 1109 
1126,1107 1109 110C 
A972,1107 1109 1110 
112B,1107 110B 
3178,1107 110B 
11E6,1107 110B 
1127,1107 110C 
3176,1107 110C 
D7E8,1107 110C 
1128,1107 110E 
D7E9,1107 110E 
A973,1107 110F 
1129,1107 1110 
3177,1107 1110 
112A,1107 1111 
11E4,1107 1111 
A974,1107 1112 
11E5,1107 1112 
3145,1109 
11BA,1109 
112D,1109 1100 
317A,1109 1100 
11E7,1109 1100 
112E,1109 1102 
317B,1109 1102 
112F,1109 1103 
317C,1109 1103 
11E8,1109 1103 
1130,1109 1105 
11E9,1109 1105 
1131,1109 1106 
D7EA,1109 1106 
1132,1109 1107 
317D,1109 1107 
11EA,1109 1107 
1133,1109 1107 1100 
D7EB,1109 1107 110B 
110A,1109 1109 
3146,1109 1109 
11BB,1109 1109 
D7EC,1109 1109 1100 
D7ED,1109 1109 1103 
A975,1109 1109 1107 
1134,1109 1109 1109 
1135,1109 110B 
1136,1109 110C 
317E,1109 110C 
D7EF,1109 110C 
1137,1109 110E 
D7F0,1109 110E 
1138,1109 110F 
1139,1109 1110 
D7F1,1109 1110 
113A,1109 1111 
D7EE,1109 1140 
3147,110B 
11BC,110B 
1141,110B 1100 
11EC,110B 1100 
11ED,110B 1100 1100 
1142,110B 1103 
A976,110B 1105 
1143,110B 1106 
1144,110B 1107 
1145,110B 1109 
11F1,110B 1109 
3182,110B 1109 
1147,110B 110B 
3180,110B 110B 
11EE,110B 110B 
1148,110B 110C 
1149,110B 110E 
11EF,110B 110F 
114A,110B 1110 
114B,110B 1111 
A977,110B 1112 
1146,110B 1140 
11F2,110B 1140 
3183,110B 1140 
3148,110C 
11BD,110C 
D7F7,110C 1107 
D7F8,110C 1107 1107 
114D,110C 110B 
110D,110C 110C 
3149,110C 110C 
D7F9,110C 110C 
A978,110C 110C 1112 
314A,110E 
11BE,110E 
1152,110E 110F 
1153,110E 1112 
314B,110F 
11BF,110F 
314C,1110 
11C0,1110 
A979,1110 1110 
314D,1111 
11C1,1111 
1156,1111 1107 
11F3,1111 1107 
D7FA,1111 1109 
1157,1111 110B 
3184,1111 110B 
11F4,1111 110B 
D7FB,1111 1110 
A97A,1111 1112 
314E,1112 
11C2,1112 
11F5,1112 1102 
11F6,1112 1105 
11F7,1112 1106 
11F8,1112 1107 
A97B,1112 1109 
1158,1112 1112 
3185,1112 1112 
113D,113C 113C 
113F,113E 113E 
317F,1140 
11EB,1140 
D7F3,1140 1107 
D7F4,1140 1107 110B 
3181,114C 
11F0,114C 
D7F5,114C 1106 
D7F6,114C 1112 
114F,114E 114E 
1151,1150 1150 
3186,1159 
11F9,1159 
A97C,1159 1159 
3164,1160 
314F,1161 
11A3,1161 30FC 
1176,1161 1169 
1177,1161 116E 
1162,1161 4E28 
3150,1161 4E28 
3151,1163 
1178,1163 1169 
1179,1163 116D 
11A4,1163 116E 
1164,1163 4E28 
3152,1163 4E28 
3153,1165 
117C,1165 30FC 
117A,1165 1169 
117B,1165 116E 
1166,1165 4E28 
3154,1165 4E28 
3155,1167 
11A5,1167 1163 
117D,1167 1169 
117E,1167 116E 
1168,1167 4E28 
3156,1167 4E28 
3157,1169 
116A,1169 1161 
3158,1169 1161 
116B,1169 1161 4E28 
3159,1169 1161 4E28 
11A6,1169 1163 
11A7,1169 1163 4E28 
117F,1169 1165 
1180,1169 1165 4E28 
D7B0,1169 1167 
1181,1169 1167 4E28 
1182,1169 1169 
D7B1,1169 1169 4E28 
1183,1169 116E 
116C,1169 4E28 
315A,1169 4E28 
315B,116D 
D7B2,116D 1161 
D7B3,116D 1161 4E28 
1184,116D 1163 
3187,116D 1163 
1186,116D 1163 
1185,116D 1163 4E28 
3188,116D 1163 4E28 
D7B4,116D 1165 
1187,116D 1169 
1188,116D 4E28 
3189,116D 4E28 
315C,116E 
1189,116E 1161 
118A,116E 1161 4E28 
116F,116E 1165 
315D,116E 1165 
118B,116E 1165 30FC 
1170,116E 1165 4E28 
315E,116E 1165 4E28 
D7B5,116E 1167 
118C,116E 1167 4E28 
118D,116E 116E 
1171,116E 4E28 
315F,116E 4E28 
D7B6,116E 4E28 4E28 
3160,1172 
118E,1172 1161 
D7B7,1172 1161 4E28 
118F,1172 1165 
1190,1172 1165 4E28 
1191,1172 1167 
318A,1172 1167 
1192,1172 1167 4E28 
318B,1172 1167 4E28 
D7B8,1172 1169 
1193,1172 116E 
1194,1172 4E28 
318C,1172 4E28 
318D,119E 
D7C5,119E 1161 
119F,119E 1165 
D7C6,119E 1165 4E28 
11A0,119E 116E 
11A2,119E 119E 
11A1,119E 4E28 
318E,119E 4E28 
30D8,3078 
2341,303C 
29C4,303C 
A49E,A04A 
A4AC,A050 
A49C,A0C0 
A4A8,A132 
A4BF,A259 
A4BE,A2B1 
A494,A2CD 
A4C0,A3AB 
A4C2,A3B5 
A4BA,A3BF 
A4B0,A3C2 
A4A7,A458 
22A5,A4D5 
27C2,A4D5 
A7B1,A4D5 
A79E,A4E4 
2141,A4E8 
2142,A4F6 
10411,A4F6 
2295,102A8 
2A01,102A8 
1F728,102A8 
25BD,102BC 
1F704,102BC 
29D6,102C0 
A79B,1043A 
A79A,10412 
104A0,10486 
103D1,10382 
103D3,10393 
12038,1039A 
2625,1099E 
132F9,1099E 
3039,5344 
F967,4E0D 
2F800,4E3D 
FA70,4E26 
239C,4E28 
239F,4E28 
23A2,4E28 
23A5,4E28 
23AA,4E28 
23AE,4E28 
31D1,4E28 
1175,4E28 
3163,4E28 
2F01,4E28 
119C,4E28 30FC 
1198,4E28 1161 
1199,4E28 1163 
D7BD,4E28 1163 1169 
D7BE,4E28 1163 4E28 
D7BF,4E28 1167 
D7C0,4E28 1167 4E28 
119A,4E28 1169 
D7C1,4E28 1169 4E28 
D7C2,4E28 116D 
119B,4E28 116E 
D7C3,4E28 1172 
119D,4E28 119E 
D7C4,4E28 4E28 
F905,4E32 
2F801,4E38 
F95E,4E39 
2F802,4E41 
31E0,4E59 
2F04,4E59 
31DF,4E5A 
2E83,4E5A 
31D6,4E5B 
2EF2,4E80 
F91B,4E82 
31DA,4E85 
2F05,4E85 
F9BA,4E86 
2F06,4E8C 
2F803,20122 
2F07,4EA0 
F977,4EAE 
2F08,4EBA 
2E85,4EBB 
F9FD,4EC0 
2F819,4ECC 
F9A8,4EE4 
2F804,4F60 
5002,4F75 
2F807,4F75 
FA73,4F80 
F92D,4F86 
F9B5,4F8B 
FA30,4FAE 
2F805,4FAE 
2F806,4FBB 
F965,4FBF 
503C,5024 
F9D4,502B 
2F808,507A 
2F809,5099 
2F80B,50CF 
F9BB,50DA 
FA31,50E7 
2F80A,50E7 
2F80C,349E 
2F09,513F 
FA0C,5140 
2E8E,5140 
FA74,5145 
FA32,514D 
2F80E,514D 
2F80F,5154 
2F810,5164 
2F0A,5165 
2F814,5167 
FA72,5168 
F978,5169 
2F0B,516B 
F9D1,516D 
2F811,5177 
2F812,2051C 
2F91B,20525 
FA75,5180 
2F813,34B9 
2F0C,5182 
2F815,518D 
2F816,2054B 
2F8D2,5192 
2F8D3,5195 
2F9CA,34BB 
2F8D4,6700 
2F0D,5196 
2F817,5197 
2F818,51A4 
2F0E,51AB 
2F81A,51AC 
FA71,51B5 
2F81B,51B5 
F92E,51B7 
F979,51C9 
F955,51CC 
F954,51DC 
FA15,51DE 
2F0F,51E0 
2F80D,2063A 
2F81D,51F5 
2F10,51F5 
2F11,5200 
2E89,5202 
2F81E,5203 
FA00,5207 
2F850,5207 
F99C,5217 
F9DD,5229 
2F81F,34DF 
F9FF,523A 
2F820,523B 
2F821,5246 
2F822,5272 
2F823,5277 
F9C7,5289 
2F9D9,20804 
F98A,529B 
2F12,529B 
F99D,52A3 
2F824,3515 
2F992,52B3 
FA76,52C7 
2F825,52C7 
FA33,52C9 
2F826,52C9 
F952,52D2 
F92F,52DE 
FA34,52E4 
2F827,52E4 
F97F,52F5 
2F13,52F9 
FA77,52FA 
2F828,52FA 
2F829,5305 
2F82A,5306 
2F9DD,208DE 
2F14,5315 
F963,5317 
2F82B,5317 
2F15,531A 
2F16,5338 
F9EB,533F 
2F17,5341 
3038,5341 
303A,5345 
2F82C,5349 
FA35,5351 
2F82D,5351 
2F82E,535A 
2F18,535C 
2F19,5369 
2E8B,353E 
2F82F,5373 
F91C,5375 
2F830,537D 
2F831,537F 
2F832,537F 
2F833,537F 
2F1A,5382 
2F834,20A2C 
2F1B,53B6 
F96B,53C3 
2F1C,53C8 
2F836,53CA 
2F837,53DF 
2F838,20B63 
2F1D,53E3 
F906,53E5 
2F839,53EB 
2F83A,53F1 
2F83B,5406 
F9DE,540F 
F9ED,541D 
2F83D,5438 
F980,5442 
2F83E,5448 
2F83F,5468 
2F83C,549E 
2F840,54A2 
F99E,54BD 
439B,3588 
2F841,54F6 
2F842,5510 
2F843,5553 
555F,5553 
FA79,5555 
2F844,5563 
2F845,5584 
2F846,5584 
F90B,5587 
FA7A,5599 
2F847,5599 
FA36,559D 
FA78,559D 
2F848,55AB 
2F849,55B3 
FA0D,55C0 
2F84A,55C2 
FA7B,55E2 
FA37,5606 
2F84C,5606 
2F84E,5651 
2F84F,5674 
FA38,5668 
2F1E,56D7 
F9A9,56F9 
2F84B,5716 
2F84D,5717 
2F1F,571F 
2F855,578B 
2F852,57CE 
39B3,363D 
2F853,57F4 
2F854,580D 
2F857,5831 
2F856,5832 
FA39,5840 
FA10,585A 
FA7C,585A 
F96C,585E 
586B,5861 
58FF,58AB 
2F858,58AC 
FA7D,58B3 
F94A,58D8 
F942,58DF 
2F859,214E4 
2F20,58EB 
2F851,58EE 
2F85A,58F2 
2F85B,58F7 
2F21,5902 
2F85C,5906 
2F22,590A 
2F23,5915 
2F85D,591A 
2F85E,5922 
2F24,5927 
FA7E,5944 
F90C,5948 
F909,5951 
FA7F,5954 
2F85F,5962 
F981,5973 
2F25,5973 
2F860,216A8 
2F861,216EA 
2F865,59D8 
2F862,59EC 
2F863,5A1B 
2F864,5A27 
FA80,5A62 
2F866,5A66 
5B00,5AAF 
2F867,36EE 
2F868,36FC 
2F986,5AB5 
2F869,5B08 
FA81,5B28 
2F86A,5B3E 
2F86B,5B3E 
2F26,5B50 
2F27,5B80 
FA04,5B85 
2F86C,219C8 
2F86D,5BC3 
2F86E,5BD8 
F95F,5BE7 
F9AA,5BE7 
2F86F,5BE7 
F9BC,5BEE 
2F870,5BF3 
2F871,21B18 
2F28,5BF8 
2F872,5BFF 
2F873,5C06 
2F29,5C0F 
2F875,5C22 
2E90,5C22 
2F2A,5C22 
2E8F,5C23 
2F876,3781 
2F2B,5C38 
F9BD,5C3F 
2F877,5C60 
F94B,5C62 
FA3B,5C64 
F9DF,5C65 
FA3C,5C6E 
2F878,5C6E 
2F2C,5C6E 
2F8F8,21D0B 
2F2D,5C71 
2F879,5CC0 
2F87A,5C8D 
2F87B,21DE4 
2F87D,21DE6 
F9D5,5D19 
2F87C,5D43 
F921,5D50 
2F87F,5D6B 
2F87E,5D6E 
2F880,5D7C 
2F9F4,5DB2 
F9AB,5DBA 
2F2E,5DDB 
2F882,5DE2 
2F2F,5DE5 
2F30,5DF1 
2E92,5DF3 
2F883,382F 
2F884,5DFD 
2F31,5DFE 
5E32,5E21 
2F885,5E28 
2F886,5E3D 
2F887,5E69 
2F888,3862 
2F889,22183 
2F32,5E72 
F98E,5E74 
2F939,2219F 
2E93,5E7A 
2F33,5E7A 
2F34,5E7F 
FA01,5EA6 
2F88A,387C 
2F88B,5EB0 
2F88C,5EB3 
2F88D,5EB6 
F928,5ECA 
2F88E,5ECA 
F9A2,5EC9 
FA82,5ED2 
FA0B,5ED3 
FA83,5ED9 
F982,5EEC 
2F35,5EF4 
2F890,5EFE 
2F36,5EFE 
2F891,22331 
2F892,22331 
F943,5F04 
2F37,5F0B 
2F38,5F13 
2F894,5F22 
2F895,5F22 
2F39,5F50 
2E94,5F51 
2F874,5F53 
2F896,38C7 
2F3A,5F61 
2F899,5F62 
FA84,5F69 
2F89A,5F6B 
2F3B,5F73 
F9D8,5F8B 
2F89B,38E3 
2F89C,5F9A 
F966,5FA9 
FA85,5FAD 
2F3C,5FC3 
2E96,5FC4 
2E97,38FA 
2F89D,5FCD 
2F89E,5FD7 
F9A3,5FF5 
2F89F,5FF9 
F960,6012 
F9AC,601C 
FA6B,6075 
2F8A2,391C 
2F8A1,393A 
2F8A0,6081 
FA3D,6094 
2F8A3,6094 
2F8A5,60C7 
FA86,60D8 
F9B9,60E1 
2F8A4,226D4 
FA88,6108 
FA3E,6168 
F9D9,6144 
2F8A6,6148 
2F8A7,614C 
2F8A9,614C 
FA87,614E 
2F8A8,614E 
FA8A,6160 
2F8AA,617A 
FA3F,618E 
FA89,618E 
2F8AB,618E 
F98F,6190 
2F8AD,61A4 
2F8AE,61AF 
2F8AC,61B2 
FAD0,22844 
FACF,2284A 
2F8AF,61DE 
FA40,61F2 
FA8B,61F2 
2F8B0,61F2 
F90D,61F6 
2F8B1,61F6 
F990,6200 
2F3D,6208 
2F8B2,6210 
2F8B3,621B 
F9D2,622E 
FA8C,6234 
2F3E,6236 
6238,6236 
2F3F,624B 
2E98,624C 
2F8B4,625D 
2F8B5,62B1 
F925,62C9 
F95B,62CF 
FA02,62D3 
2F8B6,62D4 
2F8BA,62FC 
F973,62FE 
2F8B8,22B0C 
2F8B9,633D 
2F8B7,6350 
2F8BB,6368 
F9A4,637B 
2F8BC,6383 
F975,63A0 
2F8C1,63A9 
FA8D,63C4 
2F8BD,63E4 
FA8F,6452 
2F8BE,22BF1 
FA8E,641C 
2F8BF,6422 
2F8C0,63C5 
2F8C3,6469 
2F8C6,6477 
2F8C4,647E 
2F8C2,3A2E 
6409,3A41 
F991,649A 
2F8C5,649D 
F930,64C4 
2F8C7,3A6C 
2F40,652F 
2F41,6534 
2E99,6535 
FA41,654F 
2F8C8,654F 
FA90,6556 
2F8C9,656C 
F969,6578 
2F8CA,2300A 
2F42,6587 
2EEB,6589 
2F43,6597 
F9BE,6599 
2F44,65A4 
2F45,65B9 
F983,65C5 
2F46,65E0 
2E9B,65E1 
FA42,65E2 
2F8CB,65E3 
2F47,65E5 
F9E0,6613 
66F6,3ADA 
2F8D1,3AE4 
2F8CD,6649 
6669,665A 
FA12,6674 
FA91,6674 
FA43,6691 
2F8CF,6691 
F9C5,6688 
2F8D0,3B08 
2F8D5,669C 
FA06,66B4 
F98B,66C6 
2F8CE,3B19 
2F897,232B8 
2F48,66F0 
F901,66F4 
2F8CC,66F8 
2F49,6708 
2F980,2335F 
80A6,670C 
80D0,670F 
80CA,6710 
8101,6713 
80F6,3B35 
F929,6717 
FA92,6717 
2F8D8,6717 
8127,6718 
FA93,671B 
2F8D9,671B 
2F8DA,6721 
5E50,3B3A 
4420,3B3B 
2F989,23393 
81A7,6723 
2F98A,2339C 
2F4A,6728 
F9E1,674E 
2F8DC,6753 
FA94,6756 
2F8DB,675E 
2F8DD,233C3 
67FF,676E 
F9C8,677B 
2F8E0,6785 
F9F4,6797 
2F8DE,3B49 
FAD1,233D5 
F9C9,67F3 
2F8DF,67FA 
F9DA,6817 
2F8E5,681F 
2F8E1,6852 
2F8E3,2346D 
F97A,6881 
FA44,6885 
2F8E2,6885 
2F8E4,688E 
F9E2,68A8 
2F8E6,6914 
2F8E8,6942 
FAD2,3B9D 
2F8E7,3B9D 
69E9,3BA3 
6A27,699D 
2F8E9,69A3 
2F8EA,69EA 
F914,6A02 
F95C,6A02 
F9BF,6A02 
F94C,6A13 
2F8EC,236A3 
2F8EB,6AA8 
F931,6AD3 
2F8ED,6ADB 
F91D,6B04 
2F8EE,3C18 
2F4B,6B20 
2F8EF,6B21 
2F8F0,238A7 
2F8F1,6B54 
2F8F2,3C4E 
2F4C,6B62 
2EED,6B6F 
2F8F3,6B72 
F98C,6B77 
FA95,6B79 
2F4D,6B79 
2E9E,6B7A 
2F8F4,6B9F 
F9A5,6BAE 
2F4E,6BB3 
F970,6BBA 
FA96,6BBA 
2F8F5,6BBA 
2F8F6,6BBB 
2F8F7,23A8D 
2F4F,6BCB 
2E9F,6BCD 
2F8F9,23AFA 
2F50,6BD4 
2F51,6BDB 
2F52,6C0F 
2EA0,6C11 
2F53,6C14 
2F54,6C34 
2EA1,6C35 
2EA2,6C3A 
2F8FA,6C4E 
2F8FE,6C67 
F972,6C88 
2F8FC,6CBF 
F968,6CCC 
2F8FD,6CCD 
F9E3,6CE5 
2F8FB,23CBC 
F915,6D1B 
FA05,6D1E 
2F907,6D34 
2F900,6D3E 
F9CA,6D41 
FA97,6D41 
2F902,6D41 
2F8FF,6D16 
2F903,6D69 
F92A,6D6A 
FA45,6D77 
2F901,6D77 
2F904,6D78 
2F905,6D85 
2F906,23D1E 
F9F5,6DCB 
F94D,6DDA 
F9D6,6DEA 
2F90E,6DF9 
FA46,6E1A 
2F908,6E2F 
2F909,6E6E 
6F59,6E88 
FA99,6ECB 
2F90B,6ECB 
F9CB,6E9C 
F9EC,6EBA 
2F90C,6EC7 
F904,6ED1 
FA98,6EDB 
2F90A,3D33 
F94E,6F0F 
FA47,6F22 
FA9A,6F22 
F992,6F23 
2F90D,23ED1 
2F90F,6F6E 
2F910,23F5E 
2F911,23F8E 
2F912,6FC6 
F922,6FEB 
F984,6FFE 
2F915,701B 
FA9B,701E 
2F914,701E 
2F913,7039 
2F917,704A 
2F916,3D96 
2F55,706B 
2EA3,706C 
2F835,7070 
2F919,7077 
2F918,707D 
F9FB,7099 
2F91A,70AD 
F99F,70C8 
F916,70D9 
FA48,716E 
FA9C,716E 
2F91D,24263 
2F91C,7145 
F993,7149 
FA6C,242EE 
2F91E,719C 
F9C0,71CE 
F9EE,71D0 
2F91F,243AB 
F932,7210 
F91E,721B 
2F920,7228 
2F56,722A 
FA49,722B 
2EA4,722B 
FA9E,7235 
2F921,7235 
2F57,7236 
2F58,723B 
2EA6,4E2C 
2F59,723F 
2F5A,7247 
2F922,7250 
2F5B,7259 
2F923,24608 
2F5C,725B 
F946,7262 
2F924,7280 
2F925,7295 
2F5D,72AC 
2EA8,72AD 
FA9F,72AF 
F9FA,72C0 
2F926,24735 
F92B,72FC 
FA16,732A 
FAA0,732A 
2F927,24814 
F9A7,7375 
2F928,737A 
2F5E,7384 
F961,7387 
F9DB,7387 
2F5F,7389 
2F929,738B 
2F92A,3EAC 
2F92B,73A5 
F9AD,73B2 
2F92C,3EB8 
2F92D,3EB8 
F917,73DE 
F9CC,7409 
F9E4,7406 
FA4A,7422 
2F92E,7447 
2F92F,745C 
F9AE,7469 
FAA1,7471 
2F930,7471 
2F931,7485 
F994,7489 
F9EF,7498 
2F932,74CA 
2F60,74DC 
2F61,74E6 
2F933,3F1B 
FAA2,7506 
2F62,7518 
2F63,751F 
2F934,7524 
2F64,7528 
2F65,7530 
FAA3,753B 
2F936,753E 
2F935,24C36 
F9CD,7559 
F976,7565 
F962,7570 
2F938,7570 
2F937,24C92 
2F66,758B 
2F67,7592 
F9E5,75E2 
2F93A,7610 
FAA5,761F 
FAA4,761D 
F9C1,7642 
F90E,7669 
2F68,7676 
2F69,767D 
2F93B,24FA1 
2F93C,24FB8 
2F6A,76AE 
2F6B,76BF 
2F93D,25044 
2F93E,3FFC 
FA17,76CA 
FAA6,76CA 
FAA7,76DB 
F933,76E7 
2F93F,4008 
2F6C,76EE 
FAA8,76F4 
2F940,76F4 
2F942,250F2 
2F941,250F3 
F96D,7701 
FAD3,4018 
2F943,25119 
2F945,771E 
2F946,771F 
2F947,771F 
2F944,25133 
FAAA,7740 
FAA9,774A 
2F948,774A 
9FC3,4039 
FAD4,4039 
2F949,4039 
6663,403F 
2F94B,4046 
2F94A,778B 
FAD5,25249 
FA9D,77A7 
2F6D,77DB 
2F6E,77E2 
2F6F,77F3 
2F94C,4096 
2F94D,2541D 
784F,7814 
2F94E,784E 
F9CE,786B 
F93B,788C 
2F94F,788C 
FA4B,7891 
F947,78CA 
FAAB,78CC 
2F950,78CC 
F964,78FB 
2F951,40E3 
F985,792A 
2F70,793A 
2EAD,793B 
FA18,793C 
FA4C,793E 
FA4E,7948 
FA4D,7949 
2F952,25626 
FA4F,7950 
FA50,7956 
2F953,7956 
FA51,795D 
FA19,795E 
FA1A,7965 
FA61,8996 
FAB8,8996 
F93C,797F 
2F954,2569A 
FA52,798D 
FA53,798E 
FA1B,798F 
2F956,798F 
2F955,256C5 
F9B6,79AE 
2F71,79B8 
2F72,79BE 
F995,79CA 
2F958,412F 
2F957,79EB 
F956,7A1C 
2F95A,7A4A 
FA54,7A40 
2F959,7A40 
2F95B,7A4F 
2F73,7A74 
FA55,7A81 
2F95C,2597C 
FAAC,7AB1 
F9F7,7ACB 
2F74,7ACB 
2EEF,7ADC 
2F95D,25AA7 
2F95E,25AA7 
2F95F,7AEE 
2F75,7AF9 
F9F8,7B20 
FA56,7BC0 
FAAD,7BC0 
2F960,4202 
2F961,25BAB 
2F962,7BC6 
2F964,4227 
2F963,7BC9 
2F965,25C80 
FAD6,25CD0 
F9A6,7C3E 
F944,7C60 
2F76,7C73 
FAAE,7C7B 
F9F9,7C92 
FA1D,7CBE 
2F966,7CD2 
FA03,7CD6 
2F968,7CE8 
2F967,42A0 
2F969,7CE3 
F97B,7CE7 
2F77,7CF8 
2EAF,7CF9 
2F96B,25F86 
2F96A,7D00 
F9CF,7D10 
F96A,7D22 
F94F,7D2F 
7D76,7D55 
2F96C,7D63 
FAAF,7D5B 
F93D,7DA0 
F957,7DBE 
2F96E,7DC7 
F996,7DF4 
FA57,7DF4 
FAB0,7DF4 
2F96F,7E02 
2F96D,4301 
FA58,7E09 
F950,7E37 
FA59,7E41 
2F970,7E45 
2F898,261DA 
2F971,4334 
2F78,7F36 
2F972,26228 
FAB1,7F3E 
2F973,26247 
